Date,Open,High,Low,Close,Adj Close,Volume
2022-10-17,77.699997,78.449997,76.250000,78.250000,77.338524,11143044
2022-10-18,78.650002,79.199997,78.250000,78.900002,77.980957,9906432
2022-10-19,78.900002,79.800003,78.099998,78.400002,77.486778,8775176
2022-10-20,78.300003,79.900002,77.650002,79.599998,78.672798,13611208
2022-10-21,79.099998,79.550003,77.300003,77.849998,76.943184,13898452
2022-10-24,79.000000,79.000000,78.000000,78.500000,77.585617,1726938
2022-10-25,78.050003,80.000000,77.500000,79.349998,78.425713,14835434
2022-10-27,80.199997,82.900002,80.099998,82.550003,81.588440,31614891
2022-10-28,82.800003,82.800003,78.349998,78.949997,78.030365,29330156
2022-10-31,79.349998,79.550003,77.900002,78.699997,77.783279,11696554
2022-11-01,78.699997,80.250000,78.400002,80.000000,79.068138,15997988
2022-11-02,80.000000,81.449997,79.699997,80.449997,79.512894,14278917
2022-11-03,79.800003,81.449997,79.300003,81.300003,80.353004,15209490
2022-11-04,81.500000,84.400002,81.449997,84.099998,83.120384,33445593
2022-11-07,84.849998,87.349998,83.550003,87.099998,86.085434,38020780
2022-11-09,87.449997,87.599998,85.500000,86.050003,85.047668,22539789
2022-11-10,85.000000,86.650002,83.750000,84.199997,83.219215,16683921
2022-11-11,84.400002,87.500000,84.199997,85.500000,84.504074,33191044
2022-11-14,85.599998,88.000000,85.550003,86.449997,85.443008,26520636
2022-11-15,86.849998,87.199997,85.099998,86.199997,85.195915,13610421
2022-11-16,86.099998,86.500000,82.300003,82.599998,81.637856,25739336
2022-11-17,83.000000,83.000000,80.750000,81.750000,80.797760,22502719
2022-11-18,81.900002,82.449997,79.849998,80.650002,79.710571,17752344
2022-11-21,82.250000,83.000000,81.000000,81.699997,80.748337,26933770
2022-11-22,81.699997,82.449997,80.849998,82.250000,81.291931,14583252
2022-11-23,82.699997,83.849998,82.099998,83.150002,82.181450,12436505
2022-11-24,83.300003,84.349998,82.349998,82.599998,81.637856,12007082
2022-11-25,82.849998,83.750000,82.050003,83.349998,82.379120,10734377
2022-11-28,82.500000,83.199997,81.800003,82.099998,81.143677,12858389
2022-11-29,82.550003,84.599998,82.250000,82.750000,81.786110,19526525
2022-11-30,82.750000,85.000000,82.699997,84.849998,83.861649,23604166
2022-12-01,85.699997,86.250000,84.750000,85.849998,84.849998,24779245
2022-12-02,85.949997,87.449997,85.500000,86.750000,85.739517,20303404
2022-12-05,87.199997,88.650002,87.000000,88.099998,87.073792,21457721
2022-12-06,88.050003,88.099998,85.449997,85.949997,84.948830,16724879
2022-12-07,86.449997,86.449997,84.449997,85.300003,84.306412,12166267
2022-12-08,85.500000,86.150002,84.099998,85.699997,84.701744,14100639
2022-12-09,86.300003,87.000000,83.699997,84.550003,83.565147,12784750
2022-12-12,84.500000,85.250000,83.050003,84.949997,83.960480,10442886
2022-12-13,85.449997,85.750000,84.000000,84.150002,83.169800,11388040
2022-12-14,84.599998,85.599998,84.500000,85.150002,84.158157,10055122
2022-12-15,84.949997,85.699997,83.349998,83.550003,82.576790,10984645
2022-12-16,83.400002,83.550003,82.000000,82.599998,81.637856,11710485
2022-12-19,83.000000,83.199997,82.099998,82.949997,81.983772,8474568
2022-12-20,82.500000,82.750000,80.699997,81.849998,80.896591,14817945
2022-12-21,82.300003,83.650002,80.800003,81.400002,80.451836,14289387
2022-12-22,81.849998,82.099998,78.199997,78.699997,77.783279,18920980
2022-12-23,78.250000,78.300003,74.349998,74.699997,73.829872,15647334
2022-12-26,75.000000,77.150002,73.750000,76.650002,75.757164,14027435
2022-12-27,77.400002,81.150002,77.199997,80.800003,79.858826,29894904
2022-12-28,80.750000,81.449997,79.949997,80.699997,79.759987,13888353
2022-12-29,80.199997,81.300003,79.750000,81.050003,80.105911,13574850
2022-12-30,82.550003,84.449997,82.099998,82.650002,81.687271,29757458
2023-01-02,83.300003,89.500000,83.050003,88.949997,87.913887,86864774
2023-01-03,89.000000,89.699997,87.699997,88.349998,87.320877,37876426
2023-01-04,87.650002,88.349998,84.849998,85.250000,84.256989,20223708
2023-01-05,85.699997,87.849998,84.650002,87.400002,86.381943,24321965
2023-01-06,87.849998,88.050003,85.449997,85.900002,84.899422,19627104
2023-01-09,87.000000,88.150002,86.800003,87.750000,86.727867,16860710
2023-01-10,87.750000,88.750000,86.199997,87.599998,86.579613,21375875
2023-01-11,88.050003,89.550003,87.800003,88.949997,87.913887,24955585
2023-01-12,88.750000,88.750000,87.199997,88.000000,86.974953,11442821
2023-01-13,88.300003,89.599998,87.949997,88.849998,87.815056,18350692
2023-01-16,89.250000,89.699997,87.599998,87.900002,86.876122,12333401
2023-01-17,87.849998,87.849998,86.050003,87.150002,86.134857,12532647
2023-01-18,87.500000,91.199997,87.349998,90.699997,89.643501,39056707
2023-01-19,90.449997,93.900002,90.000000,92.099998,91.027199,63481359
2023-01-20,92.349998,92.949997,91.199997,91.500000,90.434189,27855347
2023-01-23,91.949997,93.400002,90.300003,93.099998,92.015549,37644720
2023-01-24,92.949997,93.150002,90.699997,91.000000,89.940010,15154378
2023-01-25,90.900002,91.400002,89.150002,89.900002,88.852821,17092770
2023-01-27,90.000000,91.199997,86.300003,88.150002,87.123207,21874770
2023-01-30,88.150002,89.599998,86.000000,86.849998,85.838348,13314265
2023-01-31,87.400002,91.150002,87.000000,90.599998,89.544670,26331826
2023-02-01,91.300003,92.400002,86.800003,89.000000,87.963310,25911790
2023-02-02,88.849998,90.250000,87.650002,89.000000,87.963310,22866118
2023-02-03,89.449997,89.699997,85.400002,85.949997,84.948830,21487839
2023-02-06,86.400002,86.699997,84.099998,84.449997,83.466301,15025899
2023-02-07,84.449997,84.449997,81.449997,82.449997,81.489601,19123174
2023-02-08,82.449997,84.800003,82.300003,84.550003,83.565147,17280945
2023-02-09,84.699997,86.550003,83.800003,85.349998,84.355820,13368881
2023-02-10,84.949997,85.099998,83.750000,84.550003,83.565147,8282686
2023-02-13,84.500000,85.250000,83.000000,83.349998,82.379120,11254227
2023-02-14,83.650002,84.500000,82.050003,84.199997,83.219215,19252645
